IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0098105,"$11,567,217",United States,Peter Bonerz,"['Comedy', 'Crime']",Those bumbling cadets take to the streets when three inept goons successfully orchestrate a metropolitan crime wave.,PG,10 Mar 1989,84 min,Police Academy 6: City Under Siege,1989,4.4,"33,930",15000000,2.2547,5.133,867
tt0097965,"$10,763,469",United States,"Woody Allen, Francis Ford Coppola, Martin Scorsese","['Comedy', 'Drama', 'Romance']","A middle-aged artist obsessed with his pretty young assistant, a precocious 12-year-old living in a hotel, and a neurotic lawyer with a possessive mother make up three Gotham tales.",PG,10 Mar 1989,124 min,New York Stories,1989,6.4,"20,396",15000000,0.8397,6.228,379
tt0098051,"$10,647,219",United States,Andrew Davis,"['Action', 'Crime', 'Drama']","Experienced Green Beret sergeant Johnny Gallagher is escorting a prisoner, Airborne Ranger Thomas Boyette, back to the US, but Boyette escapes and Gallagher must risk life and limb to catch him.",R,25 Aug 1989,108 min,The Package,1989,6.4,"12,266",16000000,1.8999,6.1,233
tt0098625,"$10,555,348",United States,Neil Jordan,"['Comedy', 'Crime']",Two fugitives pass themselves off as priests in the hope of evading capture and passing the police blockade at the border with Canada.,PG-13,15 Dec 1989,106 min,We're No Angels,1989,6.1,"25,198",20000000,0.9607,6.1,504
tt0097138,"$10,166,459",United States,Albert Pyun,"['Action', 'Sci-Fi', 'Thriller']",A martial artist hunts a killer in a plague-infested urban dump of the future.,R,07 Apr 1989,86 min,Cyborg,1989,5.0,"35,162",500000,2.407,5.7,741
tt0098622,"$9,094,451",United States,Steve Miner,"['Action', 'Fantasy', 'Horror']","A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit.",R,11 Jan 1991,103 min,Warlock,1989,6.2,"19,588",7000000,1.7106,6.2,398
tt0098188,"$9,015,164",United States,Jack Sholder,"['Action', 'Crime', 'Drama']",An undercover cop forms an alliance with a Native American to help him hunt down the criminals who stole an ancient Lakota tribal lance.,R,02 Jun 1989,106 min,Renegades,1989,5.4,"4,023",16000000,0.6592,5.3,89
tt0098519,"$8,508,843",United States,Jeff Kanew,"['Adventure', 'Comedy']","A soon to be divorced Beverly Hills socialite is determined to prove to her husband and herself that she can finish what she starts out to do, by becoming a den mother to a troop of Beverly Hills Girl Scouts.",PG,24 Mar 1989,105 min,Troop Beverly Hills,1989,5.9,"11,695",18000000,1.0502,5.7,173
tt0097053,"$8,153,677",United States,Jeff Blyth,"['Adventure', 'Drama', 'Family']","A ""born free"" type story set in Kenya about an orphaned cheetah cub that is adopted and raised by an American family.",G,18 Aug 1989,83 min,Cheetah,1989,5.9,"1,215",5000000,0.4503,6.1,40
tt0097179,"$8,143,225",United States,Sean S. Cunningham,"['Action', 'Horror', 'Sci-Fi']",A team of navy personnel stationed at a temporary base at the bottom of the ocean and tasked with setting up nuclear missiles discovers a huge underwater cavern which houses a giant prehistoric creature.,R,13 Jan 1989,99 min,DeepStar Six,1989,5.3,"13,686",8000000,0.9421,5.5,310
tt0097276,"$7,754,571",United States,Paul Mazursky,"['Comedy', 'Drama', 'Romance']","A ghostwriter finds himself romantically involved with his current wife, a married woman and his long-vanished wife.",R,13 Dec 1989,119 min,"Enemies, A Love Story",1989,6.5,"2,639",9500000,0.3334,6.3,40
tt0097626,"$7,237,794",United States,Walter Hill,"['Crime', 'Drama', 'Thriller']","After being double crossed and thrown in jail, a deformed gangster gets a new face and rehabilitation, but his desire for revenge looms.",R,29 Sep 1989,94 min,Johnny Handsome,1989,6.1,"11,369",20000000,0.9837,6.3,268
tt0098213,"$6,706,368",United States,Michael Moore,['Documentary'],"After General Motors closes its factory in Flint, Michigan, eliminating 35,000 jobs, filmmaker Michael Moore undertakes a quixotic quest to interview General Motors' chairman, Roger B. Smith.",R,20 Dec 1989,91 min,Roger & Me,1989,7.5,"27,743",160000,0.5886,7.1,299
tt0098546,"$6,157,157",United States,Jay Levey,"['Comedy', 'Sci-Fi']","An unemployed visionary becomes the manager of a local television station. The station becomes a success, with all sorts of hilarious sight gags and wacky humor.",PG-13,21 Jul 1989,97 min,UHF,1989,6.9,"32,735",5000000,1.7472,6.7,360
tt0097731,"$4,973,285",United States,Joe Pytka,"['Comedy', 'Action']","A nosy cab driver gets a hot tip on a race horse and wins big, but he can't seem to stop gambling. Will he go broke or walk home with a pretty penny?",PG-13,18 Aug 1989,90 min,Let It Ride,1989,6.8,"7,013",18000000,0.7429,6.3,84
tt0097240,"$4,729,352",United States,Gus Van Sant,"['Crime', 'Drama']",A pharmacy-robbing dope fiend and his crew pop pills and evade the law.,R,20 Oct 1989,101 min,Drugstore Cowboy,1989,7.2,"42,231",2500000,1.9753,7.114,553
tt0098093,"$3,560,932",United States,Michael Crichton,"['Crime', 'Mystery', 'Romance']","Police officer Joe Paris, suspended and now accused of strangling hated extortionist Jake Farley, is forced to join forces with his attorney Jenny Hudson to assemble the pieces of a deadly puzzle to find the missing link.",R,27 Jan 1989,99 min,Physical Evidence,1989,5.2,"2,148",17000000,0.4606,5.2,50
tt0097570,"$3,531,971",United States,Norman Jewison,"['Drama', 'Romance', 'War']",A young girl whose father died in the Vietnam War becomes determined to find out more about him and his experiences.,R,29 Sep 1989,120 min,In Country,1989,5.9,"3,205",18000000,0.8253,5.5,54
